"time (s)",G*(Pa),G*(Pa),G*(Pa),G'(Pa),G'(Pa),G'(Pa),"G""(Pa)","G""(Pa)","G""(Pa)","Loss tangent","Loss tangent","Loss tangent"
2.087,,,,,,,,,,,,
4.088,,,,,,,,,,,,
6.087,,,,,,,,,,,,
8.088,535.80,373.10,238.80,519.5,366.8,234.3,131.200,68.110,46.070,0.218971979,,
10.090,541.40,374.70,240.10,533.1,372.1,237.1,94.210,43.700,38.210,0.154180163,,
12.090,544.40,376.30,241.70,538.1,374.5,239.2,82.910,36.850,34.590,0.134007640,,
14.090,545.80,376.90,243.00,540.9,375.5,240.8,72.820,31.910,32.050,0.118199101,,
16.090,546.20,377.20,244.10,541.3,376.0,242.1,73.250,29.700,31.380,0.115861653,,
18.090,546.50,377.40,245.20,541.5,376.3,243.2,73.530,28.750,31.350,0.115099053,,
20.090,546.80,377.10,246.20,542.0,375.9,244.3,72.570,29.510,31.070,0.114567200,,
22.090,546.90,376.80,247.20,541.9,375.7,245.3,73.400,28.920,31.020,0.114661622,,
24.090,547.20,376.80,248.20,542.3,375.8,246.3,72.870,28.030,30.830,0.113131226,,
26.090,547.40,376.80,249.10,542.6,375.7,247.2,72.740,28.610,30.980,0.113539254,,
28.090,548.00,377.10,249.90,543.2,376.0,248.0,72.040,28.520,31.080,0.112782728,,
30.090,548.20,377.20,250.90,543.3,376.2,249.0,72.550,27.040,30.710,0.111510484,,
32.090,548.60,377.50,251.60,543.8,376.6,249.7,72.100,26.110,30.920,0.110358089,,
34.090,548.30,377.40,252.40,543.2,376.5,250.4,74.860,26.590,31.090,0.113272370,,
36.090,549.20,377.60,253.10,544.5,376.7,251.2,71.690,25.910,31.150,0.109817468,,
38.090,549.40,377.90,253.80,544.1,376.9,252.0,76.520,27.460,30.670,0.114791134,,
40.090,549.50,378.20,254.60,544.7,377.2,252.7,71.890,26.200,30.930,0.109841648,,
42.090,549.60,378.30,255.30,544.4,377.4,253.4,74.990,26.890,30.810,0.112908441,,
44.090,550.10,378.80,256.00,545.2,377.9,254.2,73.140,26.260,30.630,0.110447634,,
46.090,550.20,379.20,256.70,545.4,378.3,254.9,72.880,26.000,30.420,0.109706431,,
48.090,550.30,379.40,257.30,545.3,378.6,255.5,73.880,23.550,30.180,0.108199084,,
50.090,550.80,379.30,257.90,546.3,378.5,256.1,70.950,25.230,30.560,0.107324922,,
52.090,550.90,379.40,258.40,545.7,378.6,256.6,75.100,24.640,30.800,0.110542806,,
54.090,551.50,379.70,259.10,546.9,378.8,257.3,70.990,25.990,30.530,0.107785292,,
56.090,551.50,380.00,259.60,546.7,379.2,257.7,72.960,24.470,30.770,0.108313619,,
58.090,551.60,380.20,260.20,546.8,379.5,258.5,72.670,24.270,30.200,0.107309251,,
60.090,551.90,380.30,260.70,546.9,379.5,259.0,73.840,24.720,30.290,0.108697486,,
62.090,552.20,380.50,261.20,547.4,379.9,259.5,72.600,22.200,29.920,0.105089316,,
64.090,552.50,380.60,261.80,547.7,379.8,260.1,72.670,24.670,29.720,0.106988885,,
66.090,552.70,380.70,262.20,547.8,379.9,260.5,73.380,24.770,30.230,0.108045784,,
68.090,552.90,381.00,262.70,548.2,380.2,260.9,72.330,24.020,30.450,0.106617338,,
70.090,553.10,381.00,263.20,548.2,380.2,261.5,73.800,25.490,30.180,0.108807463,,
72.090,553.60,381.20,263.70,548.8,380.5,261.9,73.200,23.940,30.200,0.106900604,,
74.090,553.70,381.40,264.10,548.8,380.6,262.3,72.960,23.860,30.420,0.106771839,,
76.090,554.00,381.50,264.60,549.5,380.8,262.9,70.170,22.880,29.880,0.103025478,,
78.090,553.90,381.50,265.00,549.2,380.7,263.3,72.340,24.270,30.330,0.106386188,,
80.090,554.40,381.70,265.40,549.7,380.9,263.7,71.710,24.550,30.550,0.106179352,,
82.090,554.50,381.90,266.00,549.7,381.1,264.3,73.020,23.700,30.020,0.106049703,,
84.090,554.70,381.80,266.40,550.1,381.1,264.7,71.870,23.980,30.190,0.105393428,,
86.090,554.90,381.90,266.90,550.2,381.2,265.2,71.900,24.120,30.030,0.105340130,,
88.090,555.10,382.10,267.20,550.4,381.3,265.6,71.780,24.800,30.040,0.105754615,,
90.090,555.30,382.10,267.60,550.5,381.3,265.9,72.480,24.230,30.040,0.105827837,,
92.090,555.60,382.40,267.90,550.9,381.7,266.2,71.720,22.630,30.220,0.103912246,,
94.090,555.60,382.40,268.30,550.8,381.6,266.6,72.810,23.930,30.310,0.105963303,,
96.090,555.80,382.30,268.80,551.1,381.6,267.1,72.400,23.290,30.150,0.104884147,,
98.090,556.10,382.40,269.10,551.3,381.6,267.4,73.530,24.240,30.130,0.106556694,,
100.100,556.50,382.60,269.50,551.7,381.8,267.8,72.660,24.460,30.390,0.106143345,,
102.100,591.00,338.70,223.50,514.0,337.9,223.5,291.600,23.870,5.687,0.298639576,,
104.100,216.30,93.94,60.94,118.1,34.7,27.9,181.300,87.300,54.190,1.786924269,,
106.100,223.10,93.00,44.48,130.5,35.6,16.8,180.900,85.900,41.200,1.683980317,,
108.100,247.20,101.40,42.77,165.6,47.1,19.0,183.500,89.820,38.310,1.344855861,,
110.100,254.90,111.80,43.43,178.8,57.9,19.9,181.700,95.670,38.590,1.231188871,,
112.100,253.00,112.50,44.82,177.0,58.6,21.1,180.900,96.020,39.570,1.233013869,,
114.100,257.20,113.90,45.78,182.5,59.9,21.8,181.200,96.880,40.250,1.205019495,,
116.100,258.50,115.20,46.80,185.2,61.0,22.6,180.400,97.700,40.980,1.186921103,,
118.100,260.40,116.00,47.83,188.4,61.7,23.3,179.700,98.190,41.740,1.169050144,,
120.100,260.80,116.80,48.71,189.6,62.3,24.0,179.200,98.750,42.390,1.160988692,,
122.100,261.80,117.00,49.49,191.3,62.4,24.6,178.700,98.960,42.940,1.151828699,,
