"time (s)",G*,G*,G*,G',G',G',"G""","G""","G""",LT,LT,LT
2.104,,,,,,,,,,,,
4.104,,,,,,,,,,,,
6.104,168.600,65.380,157.100,154.900,62.070,153.500,66.660,20.550,33.220,0.325073555,,
8.104,169.200,66.320,157.800,159.000,64.190,155.200,57.750,16.690,28.660,0.272470203,,
10.100,169.200,66.770,158.300,159.800,64.930,156.200,55.690,15.600,25.490,0.254062426,,
12.100,169.600,67.040,158.400,160.800,65.420,156.400,53.840,14.610,24.970,0.244158695,,
14.100,169.900,67.140,158.600,161.200,65.550,156.700,53.680,14.540,24.570,0.241987221,,
16.100,170.300,67.210,158.800,161.600,65.630,157.000,53.620,14.500,24.180,0.240220701,,
18.100,170.600,67.270,159.100,162.000,65.710,157.200,53.500,14.380,24.000,0.238705152,,
20.100,170.800,67.370,159.300,162.200,65.840,157.500,53.470,14.300,23.930,0.237848213,,
22.100,171.000,67.480,159.500,162.300,65.940,157.600,53.730,14.330,24.090,0.238829567,,
24.100,171.300,67.570,159.600,162.800,66.040,157.800,53.580,14.300,23.830,0.237197393,,
26.100,171.600,67.620,159.800,163.000,66.110,158.000,53.610,14.240,23.730,0.236573584,,
28.100,171.900,67.720,159.900,163.200,66.190,158.200,53.750,14.290,23.700,0.236693413,,
30.100,172.100,67.820,160.000,163.600,66.300,158.300,53.570,14.280,23.690,0.235806285,,
32.100,172.400,67.900,160.000,163.900,66.400,158.300,53.560,14.190,23.640,0.235177560,,
34.100,172.700,67.950,160.000,164.100,66.440,158.300,53.610,14.240,23.300,0.234415184,,
36.100,172.900,68.020,160.100,164.300,66.530,158.400,53.620,14.160,22.990,0.233204018,,
38.100,173.100,68.050,160.200,164.600,66.570,158.500,53.560,14.150,23.160,0.233197321,,
40.100,173.400,68.110,160.200,164.900,66.630,158.600,53.700,14.130,23.010,0.232845462,,
42.100,173.700,68.180,160.300,165.200,66.710,158.700,53.670,14.070,23.050,0.232431325,,
44.100,173.900,68.280,160.400,165.400,66.830,158.800,53.760,14.020,23.010,0.232181674,,
46.100,174.200,68.350,160.600,165.700,66.880,158.900,53.590,14.080,22.950,0.231480535,,
48.100,174.300,68.410,160.600,165.800,66.940,159.000,53.760,14.080,22.760,0.231275846,,
50.100,174.500,68.480,160.600,166.000,67.020,159.000,53.650,14.050,22.760,0.230753533,,
52.100,174.800,68.540,160.600,166.300,67.080,159.000,53.700,14.070,22.780,0.230771191,,
54.100,175.200,68.580,160.500,166.700,67.120,158.900,53.690,14.060,22.820,0.230622326,,
56.100,175.500,68.640,160.400,167.100,67.180,158.800,53.770,14.040,22.960,0.230919915,,
58.100,175.700,68.700,160.500,167.300,67.250,158.900,53.750,14.010,22.800,0.230169018,,
60.100,175.800,68.750,160.400,167.400,67.320,158.800,53.800,13.990,22.770,0.230128075,,
62.100,176.000,68.810,160.400,167.600,67.370,158.800,53.850,14.000,22.620,0.229753409,,
64.100,176.300,68.860,160.400,167.900,67.430,158.800,53.740,13.960,22.570,0.229036105,,
66.100,176.600,68.900,160.300,168.200,67.470,158.700,53.770,13.980,22.850,0.229733499,,
68.100,176.800,69.010,160.300,168.400,67.580,158.700,53.770,13.990,22.560,0.228843620,,
70.100,177.100,69.050,160.300,168.700,67.620,158.700,53.780,13.970,22.900,0.229482052,,
72.100,177.200,69.080,160.400,168.800,67.660,158.700,53.950,13.940,22.740,0.229350137,,
74.100,177.400,69.130,160.400,169.000,67.720,158.800,54.020,13.880,22.610,0.228837985,,
76.100,177.700,69.190,160.300,169.300,67.800,158.700,53.950,13.840,22.590,0.228347650,,
78.100,177.900,69.230,160.400,169.500,67.820,158.800,54.040,13.900,22.630,0.228642836,,
80.100,178.200,69.290,160.400,169.800,67.880,158.800,53.980,13.880,22.640,0.228258676,,
82.100,178.400,69.350,160.400,170.100,67.950,158.900,53.900,13.860,22.460,0.227283033,,
84.100,178.600,69.420,160.400,170.200,68.020,158.800,54.050,13.870,22.350,0.227368898,,
86.100,178.800,69.430,160.400,170.400,68.040,158.800,54.090,13.850,22.260,0.227066761,,
88.100,178.900,69.410,160.400,170.600,68.000,158.900,54.090,13.910,22.250,0.227044025,,
90.100,179.000,69.500,160.500,170.700,68.110,158.900,54.130,13.870,22.300,0.227049860,,
