"time (s)",G*,G*,G*,G',G',G',"G""","G""","G""",LT,LT,LT
2.104,,,,,,,,,,,,
4.104,,,,,,,,,,,,
6.104,,,,,,,,,,,,
8.104,35.130,7.683,10.540,33.500,7.389,9.917,10.5600,2.1050,3.5770,0.319686651,,
10.100,35.120,7.713,10.630,33.690,7.453,10.090,9.9160,1.9860,3.3350,0.297405969,,
12.100,35.250,7.722,10.670,33.980,7.490,10.220,9.3790,1.8770,3.0620,0.276997485,,
14.100,35.350,7.729,10.700,34.080,7.497,10.330,9.3940,1.8790,2.7860,0.270849789,,
16.100,35.460,7.734,10.830,34.200,7.500,10.390,9.3580,1.8870,3.0310,0.274064120,,
18.100,35.560,7.742,10.900,34.290,7.511,10.340,9.4070,1.8800,3.4530,0.282695000,,
20.100,35.650,7.741,10.910,34.390,7.509,10.270,9.3980,1.8790,3.6880,0.286856179,,
22.100,35.730,7.748,10.920,34.450,7.517,10.360,9.4740,1.8800,3.4320,0.282569228,,
24.100,35.820,7.742,10.940,34.540,7.509,10.420,9.4940,1.8840,3.3260,0.280241667,,
26.100,35.910,7.750,10.950,34.640,7.517,10.450,9.4610,1.8870,3.2680,0.277833748,,
28.100,36.020,7.738,10.970,34.760,7.506,10.490,9.4480,1.8800,3.2210,0.275779058,,
30.100,36.110,7.731,10.970,34.830,7.500,10.500,9.5090,1.8750,3.1800,0.275676699,,
32.100,36.220,7.724,10.990,34.950,7.495,10.520,9.5120,1.8680,3.1470,0.274275465,,
34.100,36.320,7.731,11.000,35.050,7.504,10.550,9.5150,1.8590,3.1320,0.273162097,,
36.100,36.410,7.732,11.020,35.140,7.503,10.570,9.5280,1.8680,3.1330,0.273034785,,
38.100,36.500,7.731,11.040,35.240,7.503,10.590,9.5290,1.8630,3.1240,0.272176701,,
40.100,36.580,7.733,11.060,35.320,7.504,10.610,9.5200,1.8660,3.1190,0.271456376,,
42.100,36.660,7.745,11.060,35.400,7.516,10.620,9.5460,1.8720,3.0990,0.271163329,,
44.100,36.750,7.762,11.070,35.480,7.529,10.640,9.5680,1.8900,3.0790,0.270964976,,
46.100,36.840,7.762,11.110,35.570,7.530,10.680,9.6030,1.8820,3.0800,0.270825586,,
48.100,36.930,7.748,11.130,35.670,7.518,10.700,9.5730,1.8730,3.0810,0.269577643,,
50.100,37.010,7.748,11.130,35.740,7.517,10.700,9.6190,1.8790,3.0610,0.269825973,,
52.100,37.100,7.763,11.140,35.840,7.530,10.710,9.6070,1.8880,3.0560,0.269064349,,
54.100,37.180,7.769,11.140,35.910,7.535,10.710,9.6340,1.8930,3.0680,0.269504201,,
56.100,37.250,7.759,11.150,35.970,7.526,10.730,9.6680,1.8870,3.0620,0.269557039,,
58.100,37.310,7.758,11.180,36.040,7.528,10.750,9.6440,1.8750,3.0530,0.268272028,,
60.100,37.400,7.762,11.200,36.140,7.533,10.780,9.6330,1.8710,3.0370,0.267037629,,
62.100,37.490,7.762,11.200,36.230,7.535,10.790,9.6480,1.8650,3.0110,0.266226744,,
64.100,37.560,7.757,11.210,36.290,7.527,10.800,9.6920,1.8740,3.0110,0.266894923,,
66.100,37.650,7.765,11.220,36.380,7.534,10.820,9.6820,1.8800,2.9960,0.265977272,,
68.100,37.720,7.775,11.240,36.450,7.543,10.830,9.6950,1.8850,2.9940,0.265837331,,
70.100,37.760,7.779,11.250,36.480,7.550,10.840,9.7710,1.8720,3.0000,0.266867141,,
72.100,37.820,7.776,11.280,36.550,7.545,10.870,9.6910,1.8840,3.0130,0.265405258,,
74.100,37.870,7.777,11.290,36.610,7.545,10.880,9.6730,1.8850,3.0210,0.264904152,,
76.100,37.960,7.788,11.300,36.700,7.556,10.900,9.7230,1.8840,3.0110,0.265030096,,
78.100,38.050,7.775,11.310,36.780,7.544,10.910,9.7380,1.8840,2.9830,0.264420466,,
80.100,38.120,7.792,11.300,36.840,7.560,10.910,9.7890,1.8860,2.9720,0.264816489,,
82.100,38.180,7.789,11.320,36.900,7.556,10.930,9.8090,1.8920,2.9660,0.264814213,,
84.100,38.260,7.799,11.310,36.980,7.567,10.920,9.7820,1.8890,2.9750,0.264048894,,
86.100,38.330,7.790,11.320,37.050,7.560,10.930,9.8140,1.8800,2.9620,0.263881887,,
