Distance from center (mm),70/3,,,70/6,,,70/9,,,70/12,,,70/18,,,70/24,,,PEGDA,,
-1,,,3,33.15378437,4.241618665,3,19.24520893,4.599870895,5,28.78939294,7.844511755,3,21.89173943,4.138872349,3,33.91664624,3.993265336,3,33.78058,4.885934,13
-0.959183673,,,3,33.60470667,4.021327448,3,20.55087005,4.729543958,5,29.52393435,8.067712952,3,22.94552565,4.109794052,3,32.96877437,3.676057615,3,35.652482,4.287148,13
-0.918367347,33.05257354,,3,34.21269531,4.050375153,3,21.31103279,4.157885112,5,30.25433762,8.114425642,3,24.22809757,4.342765705,3,34.45431771,3.278390986,3,37.327808,4.43552,13
-0.87755102,32.74337255,,3,34.93883855,4.239952338,3,21.54279213,4.166161836,5,31.10102051,8.130360578,3,25.69043325,4.819277204,3,35.08768008,3.327206365,3,38.932541,4.624727,13
-0.836734694,32.85614905,,3,35.75907405,4.489002118,3,21.65225781,4.522336175,5,32.00067271,8.439848276,3,28.85787175,7.356541405,3,35.77435194,3.273665317,3,41.041249,5.97641,13
-0.795918367,33.42942728,,3,36.53800032,4.754830573,3,21.94282126,4.876066347,5,32.99719217,8.848080039,3,29.20410822,6.639830207,3,36.32395448,3.188113713,3,42.12388,6.339717,13
-0.755102041,34.12372254,,3,37.31964949,4.967426516,3,22.34016237,5.146994563,5,34.01710384,9.083349829,3,29.77194558,6.338718516,3,36.74758371,3.127602716,3,43.526345,6.70034,13
-0.714285714,31.18014293,4.82908364,3,38.21643646,5.210003132,3,22.92513019,5.530281292,5,34.88881845,8.835206356,3,30.45479375,6.294720204,3,37.1426859,3.093578285,3,45.708674,7.211371,13
-0.673469388,31.81101433,4.530989519,3,39.18238979,5.488514642,3,23.41159814,5.702650101,5,36.02261821,9.186751785,3,31.23250294,6.422671066,3,37.66866053,3.134559376,3,46.164916,7.607462,13
-0.632653061,33.1544246,3.873625888,3,40.07212524,5.703046288,3,23.85899576,5.801645686,5,37.52832686,10.12165689,3,32.20229725,6.649996116,3,38.34747445,3.207409596,3,46.859896,7.811662,13
-0.591836735,34.69115613,3.773424926,3,40.69475353,6.137937303,3,24.26410967,5.89659649,5,39.08986508,10.9965077,3,33.2389812,6.753299528,3,39.13897615,3.279159362,3,47.71287,8.145309,13
-0.551020408,36.3435602,3.25929494,3,41.54052976,6.359517255,3,24.55755735,6.020886663,5,40.80798091,11.84251359,3,34.42061548,6.82972632,3,39.9964035,3.365504208,3,48.729076,8.524118,13
-0.510204082,36.45903963,4.497761755,3,42.81915499,6.240689964,3,24.81716754,6.006591135,5,42.70908624,12.8929624,3,35.65960944,7.026320268,3,40.8910654,3.464763343,3,49.974897,8.827134,13
-0.469387755,37.72041875,5.371703193,3,43.99518868,6.086762103,3,25.34598826,6.17827076,5,44.78909938,14.15494635,3,36.92692491,7.156845216,3,41.79394225,3.55160699,3,51.674965,9.024658,13
-0.428571429,39.54345276,5.69120996,3,45.24121774,5.846983131,3,25.98867995,6.367320418,5,46.9824224,15.39486853,3,38.20204052,7.073170105,3,42.65329702,3.586136763,3,53.088756,9.187466,13
-0.387755102,41.37557264,5.774758287,3,46.86421764,5.761906127,3,26.82606505,6.470826989,5,49.80198403,16.97135754,3,39.66194979,6.998004364,3,43.48970072,3.590909825,3,54.348674,9.217773,13
-0.346938776,43.09509019,5.701541538,3,48.9868662,5.898644085,3,27.82249587,6.58269058,5,53.52314729,19.33678076,3,41.45403571,7.059698104,3,44.35380005,3.754255808,3,55.488034,9.245857,13
-0.306122449,44.9785115,5.555483951,3,51.35821065,6.304565222,3,28.95364663,6.896345288,5,58.34004525,22.44946194,3,43.7616355,7.200292284,3,45.32547647,3.955802916,3,56.487007,9.267479,13
-0.265306122,46.80740555,5.345495706,3,53.78445864,6.812241759,3,30.03248305,6.972368361,5,63.51670527,25.00251182,3,46.71716145,7.69196852,3,46.7565473,3.769937298,3,58.329115,9.216158,13
-0.224489796,48.26283568,4.885140773,3,55.74541501,7.336429679,3,30.98574793,7.081141596,5,67.16534301,25.40151998,3,50.26235561,8.727438668,3,49.04117192,2.888389401,3,61.06062,9.192081,13
-0.183673469,49.59019001,4.308022682,3,56.38984628,7.614632346,3,31.25067048,7.600326978,5,68.73933919,23.02404464,3,54.12224079,10.31958752,3,52.84938927,1.874037256,3,64.5053,9.039998,13
-0.142857143,51.42508339,3.98232812,3,54.86756617,6.714452033,3,30.64141438,9.068853505,5,69.33235094,20.50796401,3,57.64115357,11.92628702,3,58.16633995,1.8703139,3,68.445136,9.089158,13
-0.102040816,53.98434179,5.748875263,3,50.95654323,5.367935104,3,29.52674756,11.91767054,5,68.80070526,17.3415751,3,60.15160886,13.2349188,3,63.96119403,3.171922379,3,72.353108,9.320695,13
-0.06122449,56.1523154,7.547965277,3,44.02499909,5.478078495,3,28.54648287,15.22168004,5,67.19456857,14.03917889,3,61.35394328,13.9222604,3,69.12557307,4.805324612,3,74.103386,9.470332,13
-0.020408163,57.31921779,6.548412057,3,37.06496451,6.692694893,3,28.22987035,18.28380216,5,64.46372298,12.42195076,3,61.65211953,13.84595418,3,72.04849183,6.0581177,3,74.438665,9.66638,13
0.020408163,58.54150041,4.235465656,3,32.15753673,6.793441558,3,28.69424408,20.74240899,5,63.1121991,11.77875484,3,61.2342123,13.22713364,3,72.34780934,7.017592086,3,74.021541,9.86295,13
0.06122449,59.96468317,3.042147496,3,30.47435069,5.173814713,3,29.88049762,21.89924574,5,63.43978782,12.29700383,3,60.22101041,12.23382619,3,69.97524227,8.311862629,3,73.169978,10.066629,13
0.102040816,59.68120288,3.132530769,3,33.1035013,3.73387534,3,31.64910414,20.80124915,5,65.24195269,14.53010806,3,58.60110131,11.0844685,3,65.41276729,9.833186673,3,71.954687,10.283667,13
0.142857143,56.6371346,3.546116117,3,39.61101858,5.595114219,3,33.52836017,17.54163695,5,65.80106619,15.59227407,3,56.58651694,9.874292524,3,59.83949109,10.66202581,3,70.833086,10.302352,13
0.183673469,52.39178814,4.28174704,3,45.84798159,6.864664015,3,34.31458803,13.76226322,5,65.45931635,15.81739104,3,53.94634607,8.370222776,3,54.95196797,10.42180083,3,68.815431,10.394461,13
0.224489796,48.05008406,4.891594212,3,51.04887071,7.296475725,3,34.26783426,10.60875972,5,64.33530702,15.81096578,3,50.86722175,7.133763984,3,51.59145924,9.247583259,3,66.384725,10.547651,13
0.265306122,44.26116436,4.695606687,3,54.34998941,7.468468293,3,33.35807173,8.63547772,5,62.8848465,15.66110091,3,47.80655847,6.890405955,3,49.54691159,7.893926049,3,63.807573,10.398319,13
0.306122449,41.50186229,3.97310276,3,55.57152978,7.224149235,3,32.00162696,7.546266348,5,60.92439651,15.23721814,3,44.92070869,7.229570695,3,47.91433945,6.807270295,3,61.535614,10.102579,13
0.346938776,39.34163717,3.727429289,3,55.06652148,6.48265515,3,30.62967542,7.111513894,5,58.20007601,14.34833795,3,42.54617043,7.485129843,3,46.26170545,6.084430783,3,58.981231,9.727943,13
0.387755102,37.60051218,3.641717883,3,53.18706355,5.681114784,3,29.40313415,7.258569798,5,54.95775807,13.14368998,3,40.72426958,7.678304889,3,44.65630227,5.606806744,3,56.87058,9.34652,13
0.428571429,36.71553265,3.347106144,3,50.65937495,5.178434514,3,28.24840533,7.234369681,5,51.93559838,12.1817834,3,39.04034468,7.541209122,3,43.3209128,5.3297276,3,55.089484,9.02056,13
0.469387755,36.00634708,3.516664796,3,48.50946593,4.586541978,3,27.31652057,6.972364291,5,49.30122578,11.54664125,3,37.39227716,7.284700471,3,42.29737534,5.157632635,3,53.326505,8.817115,13
0.510204082,34.75733335,3.801908919,3,46.49828701,4.205245916,3,26.56212696,6.620616714,5,46.82332563,10.78004765,3,35.95680385,7.018224533,3,41.46968356,4.996045218,3,51.41775,8.710837,13
0.551020408,33.53763366,3.929594382,3,44.97914392,3.738276977,3,25.94009665,6.24093476,5,44.68564892,10.21886279,3,34.73994574,6.858054278,3,40.71827077,4.799036555,3,49.897176,8.594453,13
0.591836735,32.57358379,4.067646713,3,43.55806685,3.652534255,3,25.42725611,5.594593981,5,42.94846475,9.966192498,3,33.84309778,6.658207031,3,39.95260588,4.620393958,3,48.470536,8.25656,13
0.632653061,29.4412801,6.92430754,3,42.31336916,3.76841942,3,25.01364785,5.165616706,5,41.29301946,9.85963129,3,33.00744754,6.555469287,3,39.1320624,4.532347656,3,47.204708,8.045271,13
0.673469388,32.16505868,4.940916615,3,41.18644337,3.927179021,3,24.41921137,4.988022335,5,39.81706549,9.536603261,3,31.98249193,6.351193633,3,38.2978084,4.534809027,3,46.236523,7.874055,13
0.714285714,31.30558006,4.506012101,3,40.07717732,4.032076951,3,23.88256073,4.895822416,5,38.49519145,9.09035269,3,30.86783605,6.055838984,3,37.59456292,4.594345752,3,45.601249,7.865121,13
0.755102041,30.68365159,4.180647054,3,39.12171755,4.096732241,3,23.45091107,4.870297272,5,37.23232003,8.454263882,3,30.09087352,6.079594112,3,37.04172372,4.559323394,3,44.663975,7.925786,13
0.795918367,30.15275874,4.005530948,3,38.30588352,4.078475623,3,23.19288244,5.087257528,5,35.02868381,6.975899321,3,29.23765615,6.194195677,3,35.86444952,5.54900993,3,43.774278,7.729407,13
0.836734694,29.5599228,4.024094497,3,36.89644945,2.710044904,3,22.25711141,4.655045492,5,33.10396728,5.943664466,3,28.21528192,6.384795422,3,38.35989179,0.751498271,3,42.798173,7.449031,13
0.87755102,,,3,34.43890563,0.494597121,3,21.27793747,4.44309082,5,31.78511925,5.424428888,3,27.39758328,6.471182418,3,37.63150123,0.667704695,3,41.875331,7.222874,13
0.918367347,,,3,34.02627081,0.176596019,3,20.44704921,4.475920059,5,30.47139746,4.980488339,3,26.65093871,6.586104406,3,37.08117003,0.675264128,3,41.120956,7.24818,13
0.959183673,,,3,33.15433511,0.086264375,3,19.17065291,4.691463065,5,29.24652023,6.713877389,3,25.81849441,6.71405899,3,34.97001293,3.12384214,3,40.299828,7.015393,13
1,,,3,31.81480334,0.984540367,3,20.7075526,4.40882168,5,28.45093431,6.488146741,3,24.96965956,6.814283092,3,36.90455551,0,3,38.243214,8.004157,13
