Plate 1,,,,,Plate 2,,,,,Plate 3,,,,,Am-only plate,,,,
Min (70/12),Mid (110/12),Hi (140/12),Max (170/12),Control,Min (70/12),Mid (110/12),Hi (140/12),Max (170/12),Control,Min (70/12),Mid (110/12),Hi (140/12),Max (170/12),Control,Min (70),Mid (110),Hi (140),Max (170),Control
0.856,0.364,0.181,0.088,0.985,0.475,0.053,0.047,0.06,0.368,0.4,0.231,0.122,0.027,0.555,0.358,0.573,0.388,0.339,0.482
0.989,0.336,0.103,0.313,0.666,0.305,0.073,0.037,0.06,0.375,0.342,0.12,0.067,0.024,0.635,0.337,0.427,0.237,0.248,0.415
0.904,0.382,0.135,0.377,0.846,0.307,0.266,0.47,0.412,0.25,0.267,0.106,0.057,0.021,0.411,0.35,0.566,0.378,0.437,0.496
0.602,0.643,0.178,0.283,0.467,0.404,0.25,0.053,0.051,0.331,0.319,0.105,0.064,0.031,0.578,0.597,0.676,0.22,0.436,0.515
0.61,0.437,0.147,0.279,0.743,0.393,0.132,0.044,0.041,0.301,0.304,0.116,0.051,0.024,0.519,0.336,0.329,0.311,0.221,0.48
0.578,0.228,0.163,0.28,0.86,0.448,0.16,0.454,0.254,0.377,0.292,0.117,0.028,0.023,0.502,0.352,0.337,0.272,0.217,0.581
0.944,0.55,0.126,0.075,0.656,0.4,0.142,0.105,0.052,0.378,0.276,0.126,0.097,0.025,0.44,0.499,0.517,0.36,0.289,0.562
0.654,0.408,0.028,0.33,0.929,0.414,0.073,0.095,0.039,0.217,0.338,0.107,0.051,0.035,0.452,0.248,0.244,0.19,0.273,0.376
0.814,0.372,0.127,0.467,0.687,0.376,0.377,0.574,0.39,0.474,0.272,0.095,0.044,0.032,0.447,0.405,0.323,0.294,0.26,0.563
,,,,0.768,,,,,0.272,,,,,0.499,,,,,0.538
,,,,0.568,,,,,0.231,,,,,0.452,,,,,0.347
,,,,0.834,,,,,0.331,,,,,0.413,,,,,0.38
,,,,,,,,,,,,,,,,,,,
