,D1,,,D2,,,D3,,,D4,,
3L,0.034282967,0.038334558,0.041928711,0.019287266,0.013017275,0.01404565,0.005729528,0.006456627,0.005576856,0,0.000378545,0.006279146
3H,0.078949085,0.088091051,0.060594951,0.030554678,0.037330259,0.034943328,0.023369812,0.013818651,0.00829823,0.011208161,0.007733345,0.006410826
6L,2.12490587,0.3753947,3.959225396,0.374140781,0.049247714,0.657591878,0.057521628,0.014888298,0.125864919,0.015572735,0.006513879,0.024982881
6H,0.096858602,0.995357835,2.991178059,0.058637073,0.244360217,0.364861784,0.030355194,0.057615232,0.082654233,0.034963965,0.038939889,0.042561557
9L,0.37338843,0.336648618,0.435332004,0.046733526,0.041371531,0.044264051,0.014086923,0.009950902,0.013106699,0.005761971,0.003634612,0.007080673
9H,0.278717584,0.07081336,0.360347678,0.042809193,0.043758462,0.039235676,0.036446338,0.016315641,0.036143672,0.031074025,0.028515125,0.060602751
12L,1.098762769,0.775386846,0.41645483,0.836557059,0.098352007,0.082493972,0.230122542,0.047237239,0.02872993,0.043811616,0.021624169,0.015993903
12H,1.349650343,0.285420347,0.477520661,0.483037902,0.057064955,0.198649187,0.187740097,0.031780661,0.054210041,0.059818465,0.035550223,0.035041194
18L,2.253792355,0.674323016,0.70304642,0.612088973,0.09867962,0.093695221,0.085419089,0.038655984,0.029999062,0.021823654,0.018655984,0.009844899
18H,1.650242059,0.458210316,0.37984041,0.475263608,0.202034767,0.09969366,0.245545739,0.068250603,0.051799745,0.084116437,0.061706141,0.043856328
24L,2.097579337,2.249058627,0.605705995,2.573318982,0.270749501,0.084412849,0.272630379,0.047605253,0.023072149,0.015250997,0.02139717,0.009501388
24H,1.905863361,0.457332573,1.654975787,1.247875195,0.34999715,0.117646053,0.079654659,0.043247557,0.019818494,0.005007113,0.017517549,0
