Plate 1,,,,,,,,,Plate 2,,,,
70/3-4W,70/6-4W,70/9-4W,70/12-4W,70/3-1W,70/6-1W,70/9-1W,70/12-1W,Control,70/18-4W,70/24-4W,70/18-1W,70/24-1W,Control
0.264,0.43,0.529,0.512,0.17,0.226,0.376,0.303,0.467,0.514,0.552,0.374,0.423,0.373
0.265,0.377,0.311,0.374,0.17,0.205,0.309,0.286,0.4,0.449,0.411,0.407,0.329,0.446
0.182,0.426,0.301,0.361,0.13,0.206,0.252,0.337,0.487,0.448,0.369,0.337,0.353,0.409
0.215,0.273,0.441,0.342,0.137,0.182,0.283,0.282,0.339,0.318,0.448,0.332,0.347,0.510
0.135,0.269,0.591,0.197,0.135,0.198,0.172,0.229,0.199,0.388,0.402,0.364,0.314,0.462
0.143,0.193,0.462,0.276,0.133,0.147,0.181,0.284,0.264,0.323,0.407,0.312,0.263,0.374
0.164,0.428,0.491,0.274,0.145,0.145,0.19,0.326,0.351,0.349,0.408,0.359,0.285,0.413
0.114,0.564,0.449,0.373,0.132,0.154,0.14,0.265,0.404,0.281,0.483,0.400,0.291,0.466
0.172,0.322,0.377,0.246,0.12,0.164,0.166,0.407,0.396,0.445,0.522,0.349,0.367,0.369
,,,,,,,,0.25,0.440,0.446,0.364,0.283,0.367
,,,,,,,,0.149,0.470,0.512,0.381,0.343,0.465
,,,,,,,,0.416,0.426,0.398,0.388,0.331,0.396
,,,,,,,,0.155,0.456,0.383,0.380,0.320,0.449
,,,,,,,,0.392,0.457,0.369,0.339,0.385,0.359
,,,,,,,,0.338,0.459,0.416,0.363,0.321,0.441
,,,,,,,,0.198,0.380,0.472,0.398,0.318,
,,,,,,,,0.408,,,,,
,,,,,,,,0.508,,,,,
,,,,,,,,0.495,,,,,
