70/3,,,,,,,,,70/6,,,,,,,,,70/9,,,,,,,,,70/12,,,,,,,,,70/18,,,,,,,,,70/24,,,,,,,,
gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G"""
0.000510551,581,619.8,9.03793E-05,68.32,99.48,0.00954,22.22,10.85,0.00951089,1054,234.3,0.00989012,117.1,25.38,0.00986,16.05,7.549,0.00729472,466.9,235.2,0.0100603,93.73,41.75,0.00968,6.381,3.263,0.00308356,460.4,136.4,0.0111238,143.9,22.17,0.0110421,4.398,2.809,0.00966,42.64,52.11,0.0102039,76.01,21.21,0.0105264,17.78,3.941,0.0101171,23.27,23.84,0.00936319,10.77,2.977,0.00877,11.23,5.896
0.00864318,912.5,327.4,8.64734E-05,92.04,144,0.0129047,23.9,9.536,0.0137273,1079,194.3,0.00809744,101.8,36.75,0.0126742,17.38,6.344,0.0140118,464.9,235.5,0.0128315,96.59,38.97,0.0120414,6.441,3.73,0.0143338,436.9,150,0.0123602,144.7,21.42,0.0125844,4.447,2.748,0.0133547,56.32,45.55,0.0121735,76.46,22.19,0.0129582,17.82,2.697,0.0133335,23.08,26.55,0.0110131,10.63,3.597,0.0123673,12.18,4.026
0.015793,981.4,109,0.000330976,226.6,5.98,0.0155665,24.24,9.689,0.0170487,1068,240.2,0.016468,118,27.09,0.0160704,18.04,5.98,0.0174365,468.6,237.4,0.0151026,97.67,42.25,0.0155598,6.755,4.417,0.0152356,437.3,150.6,0.0164936,145,25.98,0.0164798,4.647,2.733,0.0152848,60.63,50.44,0.015766,77.43,22.12,0.0161061,17.14,3.15,0.0151726,26.15,27.67,0.0149274,10.99,3.077,0.0166295,11.92,2.19
0.0211348,982.7,210.6,0.00228184,223.1,53.36,0.0193757,25.03,9.249,0.0179615,1076,207.5,0.020031,119.1,25.77,0.0194242,18.71,6.488,0.0208148,467.1,244.2,0.0205879,99.45,40.99,0.019798,7.121,4.36,0.0188105,431.4,162.5,0.0205054,145.6,21.93,0.0206209,4.904,2.779,0.0211686,65.6,51.84,0.0200214,78.23,20.22,0.0191673,17.12,3.171,0.0205528,27.9,28.31,0.0193862,10.8,3.151,0.020511,12.22,1.804
0.0253863,982.2,140.8,0.00149689,219.4,31.13,0.0254754,25.56,9.336,0.0245454,1076,200.8,0.0254546,119.6,26.52,0.0252758,19.38,6.482,0.0240576,474.9,241.4,0.0256577,100.6,42.36,0.0240497,7.27,4.418,0.0244051,437.3,148.1,0.0247858,145.9,22.83,0.0253813,4.956,2.569,0.0253991,70.69,53.84,0.0266841,79.09,20.11,0.0252321,16.89,2.593,0.0245176,29.11,28.91,0.0242138,10.97,3.191,0.0250954,12.13,1.706
0.0291114,991.4,182,0.00277314,228.4,36.4,0.0318038,26.04,9.184,0.0340181,1076,229.2,0.0315522,120.3,25.54,0.0312141,19.84,6.583,0.0328791,480.4,239.2,0.0311337,102.1,42.77,0.0313207,7.638,4.445,0.0306631,437.4,150,0.0316214,145.8,22.93,0.0316286,5.101,2.692,0.0313338,76.14,51.88,0.0312037,79.49,21.15,0.0317595,16.64,2.633,0.0314457,30.89,29.93,0.032323,10.98,3.261,0.0310132,12,1.507
0.0374273,988.4,169.7,0.00362428,233.8,54.47,0.0398132,26.4,9.129,0.0380875,1073,213.2,0.0387464,120.8,25.16,0.0410545,20.23,6.516,0.0392944,483.7,242.6,0.0399274,104,42.28,0.0392035,7.949,4.627,0.0376078,438.6,147.4,0.0398806,145,20.81,0.0401065,5.105,2.778,0.0389631,77.96,56.56,0.0398429,79.76,21.9,0.0392356,16.41,2.599,0.0405099,32,31,0.0397065,11.16,3.227,0.0382732,11.86,1.394
0.0489691,993.1,173.3,0.00470289,228.6,27.57,0.0493355,26.76,9.156,0.0500076,1073,226.2,0.0492383,121.3,25.41,0.0513409,20.01,6.474,0.0527028,488.1,242.4,0.0505802,105.7,42.51,0.0506842,8.155,4.724,0.0517948,439.1,146,0.0504595,146.9,23.08,0.0498872,5.241,2.856,0.0500104,81.06,56.95,0.0494165,80.31,21.44,0.0497183,16.17,2.342,0.0496028,33.84,31.44,0.0503262,11.26,3.245,0.0483089,11.78,1.332
0.0668045,986.9,156.9,0.00623832,236,33.49,0.0621424,27.24,9.114,0.0623408,1076,234,0.0628575,121.8,25.5,0.0627764,21.01,6.471,0.0636043,491.7,241.7,0.062863,106.9,42.14,0.0632695,8.464,4.818,0.0654275,439.3,145.8,0.0633849,147,22.52,0.063313,5.292,2.873,0.06312,84.34,58.65,0.0633606,80.83,21.65,0.062479,15.91,2.336,0.063398,35.19,32.2,0.063623,11.39,3.226,0.0635293,11.68,1.302
0.0791428,994.9,167.6,0.00743558,241.1,33.73,0.0790413,27.58,8.989,0.0795534,1077,228.5,0.0798853,122.3,25.75,0.0791726,21.25,6.462,0.0806243,496.3,244,0.0795353,108.4,41.93,0.079206,8.683,4.959,0.0785959,438.6,140.2,0.0788892,147.5,22.82,0.0802751,5.437,2.891,0.0790573,87.09,59.8,0.0794115,81.06,21.23,0.0798193,15.69,2.244,0.079446,36.33,32.75,0.0797524,11.48,3.291,0.07936,11.57,1.294
0.0978095,993.4,162.9,0.00994617,232.8,26.77,0.10058,27.82,8.958,0.0991764,1080,232.8,0.0997432,123.1,26.01,0.099619,21.51,6.376,0.100274,499.4,240.5,0.0998761,109.9,42.4,0.103454,8.789,5.183,0.100687,440.3,145.4,0.0999739,147.1,22.05,0.100344,5.447,2.905,0.0989109,89.55,60.78,0.0992691,81.64,22.03,0.100857,15.46,2.22,0.100456,37.55,33.46,0.101096,11.59,3.291,0.0998236,11.5,1.223
