70/3,,,,,,70/6,,,,,,70/9,,,,,,70/12,,,,,,70/18,,,,,,70/24,,,,,
gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G"""
9.03793E-05,68.32,99.48,0.00990862,107.2,58.26,0.00989012,117.1,25.38,0.00970068,59.9,27.31,0.0100603,93.73,41.75,0.0102899,30.36,10.53,0.0111238,143.9,22.17,0.0105562,40.84,24.58,0.0102039,76.01,21.21,0.0103269,19.46,4.893,0.00936319,10.77,2.977,0.0100991,13.79,2.681
8.64734E-05,92.04,144,0.0128686,109.6,57.03,0.00809744,101.8,36.75,0.00960279,60.63,26.41,0.0128315,96.59,38.97,0.0119594,30.87,10.57,0.0123602,144.7,21.42,0.0116873,42.54,23.7,0.0121735,76.46,22.19,0.0123431,19.11,5.166,0.0110131,10.63,3.597,0.0103481,13.42,2.862
0.000330976,226.6,5.98,0.0153801,110,55.96,0.016468,118,27.09,0.0149415,60.32,26.42,0.0151026,97.67,42.25,0.0162295,30.87,10.86,0.0164936,145,25.98,0.0164432,42.21,24.48,0.015766,77.43,22.12,0.0171315,19.47,4.739,0.0149274,10.99,3.077,0.0167827,13.51,3.808
0.00228184,223.1,53.36,0.0199971,111.3,56.42,0.020031,119.1,25.77,0.0188574,60.01,25.93,0.0205879,99.45,40.99,0.0195343,31.16,10.43,0.0205054,145.6,21.93,0.0209266,43,24.29,0.0200214,78.23,20.22,0.021179,19.4,5.088,0.0193862,10.8,3.151,0.0213536,13.74,2.909
0.00149689,219.4,31.13,0.0264058,111.9,55.97,0.0254546,119.6,26.52,0.0249744,59.8,26.46,0.0256577,100.6,42.36,0.0250651,31.43,10.42,0.0247858,145.9,22.83,0.0251718,42.55,25.05,0.0266841,79.09,20.11,0.0270124,19.28,4.822,0.0242138,10.97,3.191,0.0256283,13.65,3.096
0.00277314,228.4,36.4,0.0322028,112.1,56.26,0.0315522,120.3,25.54,0.030955,59.59,26.66,0.0311337,102.1,42.77,0.0303376,31.58,10.47,0.0316214,145.8,22.93,0.031466,43.43,24.24,0.0312037,79.49,21.15,0.032117,19.25,5.132,0.032323,10.98,3.261,0.0321895,13.74,3.107
0.00362428,233.8,54.47,0.0403337,112.2,56.38,0.0387464,120.8,25.16,0.0397484,59.37,26.37,0.0399274,104,42.28,0.0394143,31.63,10.53,0.0398806,145,20.81,0.0393549,43.32,25.42,0.0398429,79.76,21.9,0.0406263,19.26,5.394,0.0397065,11.16,3.227,0.0416898,13.67,3.05
0.00470289,228.6,27.57,0.0500286,112.5,56.26,0.0492383,121.3,25.41,0.0499742,59.47,26.51,0.0505802,105.7,42.51,0.0504059,31.63,10.78,0.0504595,146.9,23.08,0.0495711,43.87,24.91,0.0494165,80.31,21.44,0.0494063,19.32,5.32,0.0503262,11.26,3.245,0.0514298,13.71,3.12
0.00623832,236,33.49,0.0630269,113.1,55.11,0.0628575,121.8,25.5,0.0629555,59.5,26.44,0.062863,106.9,42.14,0.0629963,31.83,10.72,0.0633849,147,22.52,0.0643682,44.1,25.18,0.0633606,80.83,21.65,0.063216,19.36,5.194,0.063623,11.39,3.226,0.0638099,13.75,3.099
0.00743558,241.1,33.73,0.0789247,113.4,55.57,0.0798853,122.3,25.75,0.0797844,59.52,26.23,0.0795353,108.4,41.93,0.0797662,31.88,10.55,0.0788892,147.5,22.82,0.0793669,44.46,25.15,0.0794115,81.06,21.23,0.0787818,19.42,5.247,0.0797524,11.48,3.291,0.0802428,13.74,3.151
