70/3,,,,,,70/6,,,,,,70/9,,,,,,70/12,,,,,,70/18,,,,,,70/24,,,,,
texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),GG,G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent
2.1,0.00356,646.5,597.4,247.1,0.413625711,2.1,0.0252195,219.1,188.8,111.1,0.58845339,2.1,0.0208006,122.8,95.19,77.63,0.815526841,2.1,0.0254119,52.95,44.52,28.68,0.644204852,2.1,0.0265145,40.56,35.47,19.66,0.554271215,2.1,0.0304788,22.95,19.32,12.38,0.640786749
4.1,0.0283823,562.2,554.1,95.16,0.171737953,4.1,0.168372,176.2,168.8,50.62,0.299881517,4.1,0.127692,98.2,88.8,41.92,0.472072072,4.1,0.135819,47.56,42.88,20.58,0.47994403,4.1,0.132013,36.71,35.41,9.694,0.273764473,4.1,0.127331,21.61,20.58,6.578,0.319630709
6.1,0.114989,534.6,510.8,157.7,0.308731402,6.1,0.311026,168.6,154.9,66.66,0.430342156,6.1,0.264105,91.99,78.54,47.89,0.609752992,6.1,0.272084,44.53,37.88,23.42,0.618268215,6.1,0.261514,35.16,32.77,12.75,0.389075374,6.1,0.252364,20.83,19.25,7.95,0.412987013
8.1,0.260049,535.8,519.5,131.2,0.252550529,8.1,0.439726,169.2,159,57.75,0.363207547,8.1,0.411308,92.42,81.61,43.38,0.531552506,8.1,0.416542,44.56,39.22,21.14,0.539010709,8.1,0.40903,35.13,33.5,10.56,0.315223881,8.1,0.401422,21.07,19.96,6.73,0.337174349
10.1,0.404868,541.4,533.1,94.21,0.176721065,10.1,0.487455,169.2,159.8,55.69,0.348498123,10.1,0.48293,92.57,82.49,42,0.509152625,10.1,0.484691,44.46,39.49,20.43,0.517346164,10.1,0.481386,35.12,33.69,9.916,0.294330662,10.1,0.479903,21.22,20.26,6.317,0.311796644
12.1,0.482036,544.4,538.1,82.91,0.154079167,12.1,0.499169,169.6,160.8,53.84,0.334825871,12.1,0.499593,92.93,83.42,40.96,0.49100935,12.1,0.500338,44.54,39.85,19.91,0.499623588,12.1,0.498934,35.25,33.98,9.379,0.276015303,12.1,0.500214,21.35,20.49,5.988,0.292240117
14.1,0.49944,545.8,540.9,72.82,0.134627473,14.1,0.499443,169.9,161.2,53.68,0.333002481,14.1,0.499412,93.02,83.5,41,0.491017964,14.1,0.500033,44.58,39.94,19.8,0.495743615,14.1,0.498014,35.35,34.08,9.394,0.27564554,14.1,0.498722,21.44,20.61,5.934,0.287918486
16.1,0.501798,546.2,541.3,73.25,0.135322372,16.1,0.499238,170.3,161.6,53.62,0.331806931,16.1,0.500033,93.11,83.6,41,0.490430622,16.1,0.501221,44.52,39.83,19.88,0.499121265,16.1,0.497793,35.46,34.2,9.358,0.273625731,16.1,0.498285,21.53,20.7,5.943,0.287101449
18.1,0.504021,546.5,541.5,73.53,0.135789474,18.1,0.499092,170.6,162,53.5,0.330246914,18.1,0.500146,93.22,83.76,40.93,0.488658071,18.1,0.500862,44.53,39.86,19.85,0.497992975,18.1,0.498099,35.56,34.29,9.407,0.274336541,18.1,0.497976,21.61,20.78,5.933,0.285514918
20.1,0.503132,546.8,542,72.57,0.133892989,20.1,0.499619,170.8,162.2,53.47,0.329654747,20.1,0.499836,93.29,83.81,40.99,0.489082448,20.1,0.500369,44.56,39.9,19.84,0.497243108,20.1,0.498073,35.65,34.39,9.398,0.273277115,20.1,0.497781,21.7,20.88,5.894,0.282279693
22.1,0.500124,546.9,541.9,73.4,0.135449345,22.1,0.500491,171,162.3,53.73,0.331053604,22.1,0.498889,93.39,83.92,40.97,0.488203051,22.1,0.500496,44.56,39.88,19.88,0.498495486,22.1,0.498398,35.73,34.45,9.474,0.275007257,22.1,0.498481,21.77,20.96,5.877,0.280391221
24.1,0.497793,547.2,542.3,72.87,0.134372119,24.1,0.500683,171.3,162.8,53.58,0.329115479,24.1,0.499387,93.47,84,41,0.488095238,24.1,0.499925,44.61,39.94,19.87,0.497496244,24.1,0.497896,35.82,34.54,9.494,0.274869716,24.1,0.499267,21.85,21.05,5.852,0.278004751
26.1,0.497858,547.4,542.6,72.74,0.134058238,26.1,0.501072,171.6,163,53.61,0.328895706,26.1,0.499872,93.56,84.08,41.04,0.488106565,26.1,0.49988,44.57,39.92,19.83,0.496743487,26.1,0.497136,35.91,34.64,9.461,0.273123557,26.1,0.499782,21.91,21.11,5.867,0.277925154
28.1,0.500455,548,543.2,72.04,0.132621502,28.1,0.500578,171.9,163.2,53.75,0.32935049,28.1,0.499729,93.65,84.19,41.03,0.487350042,28.1,0.498866,44.56,39.9,19.84,0.497243108,28.1,0.497043,36.02,34.76,9.448,0.271806674,28.1,0.499242,21.99,21.2,5.858,0.276320755
30.1,0.500591,548.2,543.3,72.55,0.1335358,30.1,0.499862,172.1,163.6,53.57,0.327444988,30.1,0.49917,93.78,84.37,40.95,0.485362096,30.1,0.499451,44.53,39.87,19.84,0.497617256,30.1,0.497453,36.11,34.83,9.509,0.273011771,30.1,0.498852,22.07,21.28,5.865,0.275610902
32.1,0.503547,548.6,543.8,72.1,0.132585509,32.1,0.498971,172.4,163.9,53.56,0.326784625,32.1,0.498804,93.84,84.4,41.01,0.485900474,32.1,0.498872,44.57,39.94,19.79,0.49549324,32.1,0.49782,36.22,34.95,9.512,0.272160229,32.1,0.499387,22.14,21.35,5.888,0.275784543
34.1,0.503417,548.3,543.2,74.86,0.13781296,34.1,0.498783,172.7,164.1,53.61,0.326691042,34.1,0.499186,93.92,84.5,40.99,0.485088757,34.1,0.49911,44.55,39.91,19.8,0.496116262,34.1,0.497936,36.32,35.05,9.515,0.27146933,34.1,0.499854,22.22,21.43,5.862,0.273541764
36.1,0.503491,549.2,544.5,71.69,0.131662075,36.1,0.498342,172.9,164.3,53.62,0.32635423,36.1,0.499637,93.99,84.58,40.99,0.484629936,36.1,0.498252,44.59,39.94,19.82,0.496244367,36.1,0.498786,36.41,35.14,9.528,0.271143995,36.1,0.500312,22.29,21.5,5.873,0.273162791
38.1,0.497557,549.4,544.1,76.52,0.140635913,38.1,0.498589,173.1,164.6,53.56,0.325394897,38.1,0.499517,94.09,84.71,40.95,0.483414001,38.1,0.499075,44.59,39.95,19.82,0.49612015,38.1,0.498703,36.5,35.24,9.529,0.270402951,38.1,0.499618,22.36,21.58,5.851,0.271130677
40.1,0.498159,549.5,544.7,71.89,0.131980907,40.1,0.499022,173.4,164.9,53.7,0.32565191,40.1,0.499744,94.12,84.71,41.03,0.484358399,40.1,0.500203,44.58,39.93,19.82,0.496368645,40.1,0.499188,36.58,35.32,9.52,0.269535674,40.1,0.49918,22.42,21.65,5.852,0.270300231
42.1,0.498584,549.6,544.4,74.99,0.137747979,42.1,0.500394,173.7,165.2,53.67,0.324878935,42.1,0.499784,94.2,84.79,41.05,0.48413728,42.1,0.499674,44.58,39.96,19.77,0.494744745,42.1,0.499306,36.66,35.4,9.546,0.269661017,42.1,0.498365,22.48,21.71,5.855,0.269691386
