Low-PI-1,,,,,Low-PI-2,,,,,Low-PI-3,,,,,Low-PI-mean,,,,
gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT
0.00936319,11.17,10.77,2.977,0.27641597,0.0101052,5.188,4.152,3.111,0.749277457,9.39E-03,28.59,24.05,15.47,0.643243243,0.0096,14.9827,12.9907,7.1860,0.5563
0.0149274,11.41,10.99,3.077,0.279981802,0.016175,4.948,4.521,2.011,0.444813094,0.0155179,29.67,27.05,12.2,0.451016636,0.0155,15.3427,14.1870,5.7627,0.3919
0.0242138,11.42,10.97,3.191,0.29088423,0.0256903,4.769,4.317,2.026,0.469307389,0.0249454,29.32,27.98,8.743,0.312473195,0.0249,15.1697,14.4223,4.6533,0.3576
0.0397065,11.62,11.16,3.227,0.289157706,0.03911,4.924,4.581,1.805,0.394018773,0.041791,30.45,28.97,9.351,0.322782188,0.0402,15.6647,14.9037,4.7943,0.3353
0.063623,11.84,11.39,3.226,0.283230904,0.0622483,4.96,4.662,1.693,0.363148863,0.0631539,30.72,29.26,9.364,0.320027341,0.0630,15.8400,15.1040,4.7610,0.3221
0.101096,12.04,11.59,3.291,0.283951682,0.100732,5.035,4.734,1.714,0.362061681,0.0984626,31.16,29.88,8.857,0.296419009,0.1001,16.0783,15.4013,4.6207,0.3141
0.157993,12.21,11.74,3.364,0.286541738,0.158986,5.115,4.804,1.755,0.365320566,0.157502,31.62,30.34,8.899,0.293309163,0.1582,16.3150,15.6280,4.6727,0.3151
0.252124,12.39,11.92,3.395,0.284815436,0.250953,5.208,4.892,1.788,0.365494685,0.251352,32.22,31.01,8.768,0.282747501,0.2515,16.6060,15.9407,4.6503,0.3110
0.399539,12.63,12.13,3.505,0.288953009,0.398984,5.282,4.96,1.816,0.366129032,0.397672,32.96,31.79,8.689,0.273324945,0.3987,16.9573,16.2933,4.6700,0.3095
0.630471,12.93,12.41,3.646,0.293795326,0.63131,5.354,5.026,1.845,0.367091126,0.631009,33.57,32.42,8.688,0.267982727,0.6309,17.2847,16.6187,4.7263,0.3096
