Low-PI-1,,,,,Low-PI-2,,,,,Low-PI-3,,,,,Low-PI-mean,,,,
gamma*(%),G*,G',"G""",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*,G',"G""",LT
0.00994617,234.3,232.8,26.77,0.114991409,8.01E-03,502,457.7,206.2,0.450513437,9.22E-03,729.5,728.4,39.35,0.054022515,0.0091,488.60,472.97,90.77,0.21
0.0158655,234.9,233,29.34,0.125922747,0.0156094,504.1,498,77.88,0.156385542,3.19E-03,717.1,696.5,170.9,0.245369706,0.0116,485.37,475.83,92.71,0.18
0.025544,234,232.3,28.21,0.121437796,0.0250835,517.7,511.8,77.88,0.152168816,4.98E-03,634.2,629,80.96,0.128712242,0.0185,461.97,457.70,62.35,0.13
0.039532,236.4,234.7,28.52,0.12151683,0.0394512,530.6,525.7,72,0.136960243,0.0334081,646.1,641.2,79.55,0.124064255,0.0375,471.03,467.20,60.02,0.13
0.0629247,236.3,234.6,28.36,0.120886616,0.063821,540.1,536,66.02,0.123171642,0.0566617,657.5,653.6,71.89,0.10999082,0.0611,477.97,474.73,55.42,0.12
0.0995757,237.3,235.6,28.24,0.119864177,0.0993448,548.3,544.4,65.23,0.119819985,0.100802,661.6,658.5,63.8,0.096886864,0.0999,482.40,479.50,52.42,0.11
0.158394,238.4,236.7,28.22,0.119222645,0.15847,554.2,550.3,65.5,0.119025986,0.162878,677.8,672.1,87.12,0.129623568,0.1599,490.13,486.37,60.28,0.12
0.251949,240.3,238.7,28.3,0.11855886,0.250431,555.3,551.3,66.2,0.120079811,0.254352,671,666.8,74.77,0.112132573,0.2522,488.87,485.60,56.42,0.12
0.397751,244.2,242.5,28.64,0.118103093,0.397265,550.6,546.5,66.96,0.12252516,0.392186,671,666,82.15,0.123348348,0.3957,488.60,485.00,59.25,0.12
0.630421,249.5,247.7,29.27,0.118167138,0.629539,536.8,532.3,69.76,0.131053917,0.632685,647.1,641.5,84.9,0.132346064,0.6309,477.80,473.83,61.31,0.13
0.999914,254.6,252.8,29.77,0.117761076,0.998858,521.4,515.8,76.34,0.148003102,1.00186,615.8,608.4,95.25,0.156558185,1.0002,463.93,459.00,67.12,0.14
1.58625,252.8,251.1,29.55,0.117682198,1.58298,505.4,497.5,88.72,0.178331658,1.5964,585.3,576,103.9,0.180381944,1.5885,447.83,441.53,74.06,0.16
2.51248,254.7,252.9,29.94,0.118386714,2.50602,477.8,466.2,104.6,0.224367224,2.50796,547.8,535.8,114.1,0.212952594,2.5088,426.77,418.30,82.88,0.19
3.97696,254.5,252.7,30.3,0.119905026,3.97153,443.3,426.6,120.6,0.282700422,3.98212,503.4,486.5,129.4,0.265981501,3.9769,400.40,388.60,93.43,0.22
6.3063,254.6,252.7,31.29,0.123822715,6.29501,402.3,379.5,133.6,0.352042161,6.30153,446.8,418.4,156.8,0.374760994,6.3009,367.90,350.20,107.23,0.28
10.0019,253.6,251.4,33.1,0.131662689,9.97768,357.9,329.4,140,0.425015179,9.98437,383.2,337.9,180.8,0.535069547,9.9880,331.57,306.23,117.97,0.36
15.8496,250.8,248.1,36.82,0.1484079,15.816,312.9,278.4,142.8,0.512931034,15.8114,324.1,267.4,183.1,0.68474196,15.8257,295.93,264.63,120.91,0.45
25.1219,244.3,240.4,43.76,0.18202995,25.0254,268.4,228.4,141,0.617338004,25.0491,271.2,208.8,173.1,0.829022989,25.0655,261.30,225.87,119.29,0.54
39.8124,232,225.6,54.25,0.240469858,39.6729,226.8,182.9,134.2,0.733734281,39.6469,225.7,163.1,156.1,0.957081545,39.7107,228.17,190.53,114.85,0.64
63.0686,213.8,202.9,67.16,0.331000493,62.8201,190.1,144.3,123.7,0.857241857,62.8472,186.3,125.1,138.1,1.103916867,62.9120,196.73,157.43,109.65,0.76
99.8597,195.1,177.8,80.49,0.452699663,99.5914,157,111.1,110.9,0.99819982,99.2252,152.4,94.74,119.4,1.260291324,99.5588,168.17,127.88,103.60,0.90
158.23,176.5,150.6,92.04,0.611155378,157.672,131.6,86.92,98.8,1.136677405,157.752,121.2,68.29,100.2,1.467271929,157.8847,143.10,101.94,97.01,1.07
250.676,159.2,126.6,96.44,0.761769352,249.644,112.8,69,89.17,1.292318841,246.434,88.06,41.75,77.54,1.857245509,248.9180,120.02,79.12,87.72,1.30
397.62,143.8,110.6,91.98,0.83164557,394.662,96.97,54.59,80.15,1.468217622,476.732,45.88,12.81,44.06,3.43950039,423.0047,95.55,59.33,72.06,1.91
628.762,131.6,100.1,85.33,0.852447552,622.112,83.28,43.45,71.04,1.634982739,,,,,,625.4370,107.44,71.78,78.19,1.24
997.733,120.3,87.31,82.8,0.948344978,983.485,69.04,29.99,62.18,2.073357786,,,,,,990.6090,94.67,58.65,72.49,1.51
,,,,,,,,,,,,,,,,,,,
High-PI-1,,,,,High-PI-2,,,,,High-PI-3,,,,,HIgh-PI-mean,,,,
gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT
0.00990862,122,107.2,58.26,0.543470149,9.24E-03,118.1,103.1,57.58,0.558486906,8.08E-03,217.6,207.5,65.54,0.315855422,0.0091,152.5667,139.2667,60.4600,0.4726
0.0153801,123.4,110,55.96,0.508727273,0.0100777,164.8,164.6,7.306,0.044386391,0.0163873,224,218.2,50.62,0.231989001,0.0139,170.7333,164.2667,37.9620,0.2617
0.0264058,125.1,111.9,55.97,0.500178731,0.0242012,130.9,126.4,34.06,0.269462025,0.0242483,235.1,225.8,65.44,0.289813995,0.0250,163.7000,154.7000,51.8233,0.3532
0.0403337,125.6,112.2,56.38,0.502495544,0.0399302,137.1,129.8,44.24,0.340832049,0.0394902,236.7,229.9,56.48,0.245672031,0.0399,166.4667,157.3000,52.3667,0.3630
0.0630269,125.8,113.1,55.11,0.487267905,0.0623259,141,134.6,42.07,0.312555721,0.0629121,240.5,233.9,55.78,0.238477982,0.0628,169.1000,160.5333,50.9867,0.3461
0.0989669,126.7,113.8,55.71,0.489543058,0.0990394,144.7,138.5,41.88,0.302382671,0.100146,243.5,237.1,55.56,0.234331506,0.0994,171.6333,163.1333,51.0500,0.3421
0.157975,127.6,114.7,55.82,0.486660854,0.15854,147.9,141.9,41.73,0.294080338,0.157279,246.1,239.8,55.38,0.230942452,0.1579,173.8667,165.4667,50.9767,0.3372
0.250661,128.5,115.6,55.99,0.484342561,0.250398,150.5,144.6,41.64,0.287966805,0.250636,248.1,241.9,55.36,0.228854899,0.2506,175.7000,167.3667,50.9967,0.3337
