Low-PI-1,,,,,Low-PI-2,,,,,Low-PI-3,,,,,Low-PI-mean,,,,
gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT
0.00989012,119.8,117.1,25.4,0.216737831,9.29E-03,218.7,212.7,51.05,0.240009403,9.88E-03,101.2,98.95,21.07,0.212935826,0.0097,146.57,142.92,32.50,0.22
0.016468,121.1,118.0,27.1,0.229576271,0.0148184,235.7,232.1,41.02,0.176734166,0.0151128,102.3,100.4,20.09,0.200099602,0.0155,153.03,150.17,29.40,0.20
0.0254546,122.5,119.6,26.5,0.22173913,0.0254372,241.6,238.1,41.42,0.173960521,0.0251346,103,101.6,17.34,0.170669291,0.0253,155.70,153.10,28.43,0.19
0.0387464,123.4,120.8,25.2,0.208278146,0.0406394,248,244.6,41.01,0.167661488,0.0409875,102.5,101,16.96,0.167920792,0.0401,157.97,155.47,27.71,0.18
0.0628575,124.5,121.8,25.5,0.209359606,0.0624126,251.9,248.8,39.69,0.159525723,0.0634306,103.6,102.4,15.9,0.155273438,0.0629,160.00,157.67,27.03,0.17
0.0997432,125.8,123.1,26.0,0.211291633,0.100752,254.4,250.8,43.1,0.17185008,0.100438,103.8,102.6,15.66,0.152631579,0.1003,161.33,158.83,28.26,0.18
0.158706,126.0,123.4,25.7,0.20834684,0.158386,256.3,252.4,44.65,0.176901743,0.159196,103.3,102.2,15.16,0.148336595,0.1588,161.87,159.33,28.51,0.18
0.252102,126.6,124.0,25.6,0.206370968,0.250975,254.7,250.2,47.92,0.191526779,0.315774,97.82,96.72,25.13,0.259822167,0.2730,159.71,156.97,32.88,0.22
0.396921,127.3,124.7,25.7,0.206255012,0.396982,248.1,242.2,53.72,0.221800165,0.392965,91.1,86.25,29.33,0.340057971,0.3956,155.50,151.05,36.26,0.26
0.630475,127.5,124.8,25.8,0.206650641,0.630704,235,227.5,59.15,0.26,0.622842,92.76,88.6,27.47,0.310045147,0.6280,151.75,146.97,37.47,0.26
0.999121,127.3,124.7,25.9,0.208019246,0.998657,221.1,212,62.7,0.295754717,0.999422,92.26,89.28,23.26,0.260528674,0.9991,146.89,141.99,37.30,0.25
1.58456,127.0,124.2,26.4,0.212238325,1.58202,209.3,199.6,63.24,0.316833667,1.58238,87.26,84.16,23.05,0.27388308,1.5830,141.19,135.99,37.55,0.27
2.51189,126.8,123.8,27.3,0.220355412,2.5053,196.9,186.2,63.85,0.342910849,2.50997,79.06,74.91,25.28,0.337471633,2.5091,134.25,128.30,38.80,0.30
