Initial-1,,,,,Initial-2,,,,,Initial-3,,,,,Initial-mean,,,,
gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*,G',"G""",LT
9.64E-03,69.89,67.27,18.95,0.281700609,9.66E-03,67.33,42.64,52.11,1.222091932,0.0101394,128.2,115.5,55.71,0.482337662,0.0098,88.47,75.14,42.26,0.66
0.0163011,70.49,68.37,17.15,0.250841012,0.0152848,78.87,60.63,50.44,0.831931387,0.014495,133.4,127.1,40.75,0.32061369,0.0154,94.25,85.37,36.11,0.47
0.0248955,70.98,68.79,17.53,0.254833551,0.0253991,88.86,70.69,53.84,0.761635309,0.0244677,137.7,130.2,44.72,0.343471582,0.0249,99.18,89.89,38.70,0.45
0.0402485,71.51,69.26,17.77,0.256569448,0.0389631,96.31,77.96,56.56,0.725500257,0.0400423,141,133.3,45.95,0.344711178,0.0398,102.94,93.51,40.09,0.44
0.0632656,72.05,69.73,18.12,0.259859458,0.06312,102.7,84.34,58.65,0.695399573,0.062984,144.2,136.8,45.9,0.335526316,0.0631,106.32,96.96,40.89,0.43
0.100009,72.24,69.97,17.96,0.256681435,0.0989109,108.2,89.55,60.78,0.678726968,0.100161,147.2,140,45.46,0.324714286,0.0997,109.21,99.84,41.40,0.42
0.158351,72.37,70.1,17.96,0.256205421,0.158146,112.9,94.18,62.27,0.661180718,0.15825,149.7,142.6,45.75,0.320827489,0.1582,111.66,102.29,41.99,0.41
0.251319,72.2,69.93,17.98,0.257114257,0.25092,117.5,98.33,64.33,0.654225567,0.250294,151.8,144.9,45.45,0.313664596,0.2508,113.83,104.39,42.59,0.41
0.39768,71.3,69.04,17.79,0.257676709,0.39858,122.2,102.7,66.14,0.644011685,0.397453,153.7,146.8,45.63,0.310831063,0.3979,115.73,106.18,43.19,0.40
0.630945,69.94,67.7,17.56,0.259379616,0.630185,127.4,107.2,68.81,0.641884328,0.631338,155.2,148.3,45.93,0.309710047,0.6308,117.51,107.73,44.10,0.40
1.00007,69.02,66.73,17.65,0.264498726,1.00007,130.9,110.1,70.83,0.643324251,0.999571,155,148,46.3,0.312837838,0.9999,118.31,108.28,44.93,0.41
1.58498,68.87,66.43,18.14,0.273069396,1.58299,132.8,111.1,72.61,0.653555356,1.583,155.5,147.9,47.78,0.323056119,1.5837,119.06,108.48,46.18,0.42
2.51142,67.82,65.25,18.48,0.283218391,2.50793,134.6,111.8,74.97,0.670572451,2.50888,154.7,146.4,50.06,0.341939891,2.5094,119.04,107.82,47.84,0.43
3.97938,66.66,63.87,19.08,0.298731799,3.97945,135.9,111.9,77.13,0.689276139,3.98014,152.7,143.1,53.3,0.372466806,3.9797,118.42,106.29,49.84,0.45
6.31156,64.58,61.44,19.88,0.323567708,6.30203,136.3,110.8,79.38,0.716425993,6.31,148.7,137.3,56.92,0.414566642,6.3079,116.53,103.18,52.06,0.48
10.0063,61.31,57.62,20.96,0.363762582,9.99424,136.4,109.7,81.08,0.739106655,10.0014,142.4,128.8,60.62,0.470652174,10.0006,113.37,98.71,54.22,0.52
15.8616,56.78,52.34,22,0.420328621,15.8354,135.5,107.1,82.98,0.774789916,15.8472,133.8,117.5,63.96,0.544340426,15.8481,108.69,92.31,56.31,0.58
25.139,51.56,46.52,22.24,0.478073947,25.0978,133.2,102.7,84.82,0.825900682,25.1035,122.7,103.5,65.97,0.637391304,25.1134,102.49,84.24,57.68,0.65
