Initial-1,,,,,Initial-2,,,,,Initial-3,,,,,Initial-mean,,,,
gamma*(%),G*,G',"G""",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*,G',"G""",LT
0.0005,849.60,581.00,119.80,0.206196213,0.002126,580.40,580.00,19.94,0.03437931,2.74E-03,525.4,519.9,76.03,0.146239661,0.0018,651.8000,560.3000,71.9233,0.1289
0.0158,987.50,981.40,109.00,0.111065824,0.014201,779.20,778.20,39.26,0.050449756,0.0136003,536.1,532.7,59.97,0.112577436,0.0145,767.6000,764.1000,69.4100,0.0914
0.0254,992.20,982.20,140.80,0.14335166,0.023595,739.90,737.90,53.97,0.073139992,0.0269178,538.2,537.1,33.06,0.061552783,0.0253,756.7667,752.4000,75.9433,0.0927
0.0374,1003.00,988.40,169.70,0.171691623,0.043132,732.50,730.50,54.37,0.074428474,0.0414456,538.9,538.1,29.59,0.054989779,0.0407,758.1333,752.3333,84.5533,0.1004
0.0668,999.30,986.90,156.90,0.158982673,0.053088,802.20,799.90,61.59,0.076997125,0.0589512,540.6,539.6,32.43,0.060100074,0.0596,780.7000,775.4667,83.6400,0.0987
0.0978,1007.00,993.40,162.90,0.163982283,0.104404,775.80,772.40,71.93,0.093125324,0.0987303,538,537.4,24.44,0.045478229,0.1003,773.6000,767.7333,86.4233,0.1009
0.1576,1018.00,1004.00,168.60,0.167928287,0.131023,764.50,761.20,70.19,0.092209669,0.155442,538.4,537.8,25.52,0.047452585,0.1480,773.6333,767.6667,88.1033,0.1025
0.2552,1014.00,1000.00,164.80,0.1648,0.256534,809.60,809.40,14.27,0.017630343,0.246592,538.2,537.6,26.94,0.050111607,0.2528,787.2667,782.3333,68.6700,0.0775
0.3943,1009.00,995.30,163.80,0.164573495,0.400158,857.20,857.00,13.50,0.015752625,0.397433,534,533.4,24.72,0.046344207,0.3973,800.0667,795.2333,67.3400,0.0756
0.6278,996.50,983.30,161.30,0.164039459,0.611194,867.20,866.90,23.73,0.027373399,0.631871,529.8,529.2,24.79,0.046844293,0.6236,797.8333,793.1333,69.9400,0.0794
1.0001,986.40,973.40,159.70,0.164064105,0.993345,863.00,862.50,30.47,0.035327536,1.00175,527.7,527.1,24.62,0.046708404,0.9984,792.3667,787.6667,71.5967,0.0820
1.5816,1002.00,989.00,161.50,0.163296259,1.66847,868.70,868.00,33.47,0.038559908,1.58532,531.5,530.9,25.3,0.047654926,1.6118,800.7333,795.9667,73.4233,0.0832
2.5121,1002.00,988.40,161.90,0.163800081,2.34637,865.90,865.30,33.78,0.039038484,2.51483,530.7,530.1,25.75,0.04857574,2.4578,799.5333,794.6000,73.8100,0.0838
3.9813,1004.00,990.60,162.60,0.164142944,4.1147,871.30,870.60,34.84,0.040018378,3.97385,529.2,528.5,26.98,0.051050142,4.0233,801.5000,796.5667,74.8067,0.0851
6.3093,1005.00,991.40,165.00,0.166431309,6.165,872.00,871.30,35.22,0.040422357,6.30845,527,526.2,27.71,0.052660585,6.2609,801.3333,796.3000,75.9767,0.0865
9.9991,1004.00,989.90,170.10,0.171835539,10.1263,873.20,872.40,36.25,0.04155204,9.9943,523.2,522.4,29.45,0.056374426,10.0399,800.1333,794.9000,78.6000,0.0899
15.8424,1000.00,983.10,183.10,0.186247584,15.7063,874.90,874.10,37.72,0.043152957,15.8531,516,515,32.54,0.063184466,15.8006,796.9667,790.7333,84.4533,0.0975
