Initial-1,,,,,Initial-2,,,,,Initial-3,,,,,Initial-mean,,,,
gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*,G',"G""",LT
8.39E-03,137.8,132.2,38.68,0.292586989,0.0101171,33.31,23.27,23.84,1.024495058,9.50E-03,133.2,120,57.76,0.481333333,0.0093,101.44,91.82,40.09,0.60
0.0138742,141.6,137.2,34.84,0.25393586,0.0151726,38.07,26.15,27.67,1.058126195,0.0156152,147,139.6,45.99,0.329441261,0.0149,108.89,100.98,36.17,0.55
0.0252004,141.5,138,31.15,0.225724638,0.0245176,41.03,29.11,28.91,0.993129509,0.0252339,155.6,150.2,40.78,0.27150466,0.0250,112.71,105.77,33.61,0.50
0.0407659,143.7,139.8,33.21,0.237553648,0.0405099,44.55,32,31,0.96875,0.039333,161,155.7,41.04,0.263583815,0.0402,116.42,109.17,35.08,0.49
0.0640414,145.7,141.2,35.83,0.253753541,0.063398,47.7,35.19,32.2,0.91503268,0.0636153,164.7,160,39.2,0.245,0.0637,119.37,112.13,35.74,0.47
0.100575,147.6,143,36.24,0.253426573,0.100456,50.29,37.55,33.46,0.891078562,0.10015,168.3,163.7,39.05,0.238546121,0.1004,122.06,114.75,36.25,0.46
0.160331,147.7,143.5,35.16,0.245017422,0.158013,52.79,39.88,34.58,0.867101304,0.158179,170.7,166.2,38.94,0.234296029,0.1588,123.73,116.53,36.23,0.45
0.251118,148.6,144.2,35.62,0.247018031,0.250416,55.48,42.3,35.91,0.84893617,0.249443,172.3,167.9,38.77,0.230911257,0.2503,125.46,118.13,36.77,0.44
0.398324,150.1,145.4,37.08,0.255020633,0.396979,58.19,44.59,37.39,0.838528818,0.398169,173.2,168.8,38.66,0.229028436,0.3978,127.16,119.60,37.71,0.44
0.630676,151.3,146.1,39.08,0.267488022,0.630304,60.95,46.84,39,0.832621691,0.630543,173.8,169.5,38.42,0.226666667,0.6305,128.68,120.81,38.83,0.44
0.999804,151,145.3,41.3,0.284239504,0.998747,62.95,48.49,40.15,0.828005774,1.00026,174.1,169.9,38.22,0.224955856,0.9996,129.35,121.23,39.89,0.45
1.58495,144,137.7,42.12,0.305882353,1.5835,64.07,49.3,40.91,0.829817444,1.58453,177.6,173.3,39.06,0.225389498,1.5843,128.56,120.10,40.70,0.45
2.51272,136.7,129.5,43.69,0.337374517,2.5078,65.54,50.31,42.02,0.835221626,2.51058,177.9,173.5,39.32,0.226628242,2.5104,126.71,117.77,41.68,0.47
3.98205,125.7,117.2,45.38,0.387201365,3.97904,66.64,50.91,43.01,0.8448242,3.97972,178.3,173.7,39.88,0.229591249,3.9803,123.55,113.94,42.76,0.49
6.31122,111.3,100.5,47.86,0.476218905,6.30261,67.38,50.99,44.05,0.863894881,6.30796,178,173.3,40.66,0.234622043,6.3073,118.89,108.26,44.19,0.52
10.0035,94.37,80.51,49.23,0.611476835,9.99449,67.49,50.31,44.98,0.894056848,10.0017,176.9,171.9,41.83,0.243339151,9.9999,112.92,100.91,45.35,0.58
15.8564,77.71,60.88,48.28,0.79303548,15.8387,66.51,48.41,45.61,0.942160711,15.843,174.2,168.6,43.96,0.260735469,15.8460,106.14,92.63,45.95,0.67
25.0881,62.27,42.38,45.62,1.076451156,25.1005,64.2,45.23,45.56,1.007296042,25.1259,168.4,161.6,47.58,0.294430693,25.1048,98.29,83.07,46.25,0.79
39.5351,49.45,28.94,40.1,1.385625432,39.7843,60.66,41.15,44.56,1.082867558,39.835,157,147.7,53.11,0.35958023,39.7181,89.04,72.60,45.92,0.94
62.656,38.62,19.04,33.6,1.764705882,62.9975,56.79,37.16,42.94,1.155543595,63.1494,136.5,122.9,59.41,0.483401139,62.9343,77.30,59.70,45.32,1.13
99.5295,30.12,12.65,27.34,2.161264822,99.7463,53.47,33.78,41.45,1.22705743,100.046,105.9,86.68,60.89,0.702468851,99.7739,63.16,44.37,43.23,1.36
158.427,23.25,8.345,21.7,2.600359497,157.979,50.35,30.25,40.26,1.330909091,157.903,72.5,49.74,52.74,1.060313631,158.1030,48.70,29.45,38.23,1.66
251.254,17.98,5.641,17.07,3.026059209,250.355,45.32,24.78,37.94,1.531073446,249.763,46.65,26.12,38.65,1.479709035,250.4573,36.65,18.85,31.22,2.01
398.496,13.78,3.657,13.28,3.631391851,396.736,40.09,19.58,34.98,1.786516854,395.667,29.74,13.86,26.31,1.898268398,396.9663,27.87,12.37,24.86,2.44
631.795,9.949,2.017,9.742,4.829945464,628.719,34,14.74,30.64,2.078697422,629.142,18.64,7.24,17.18,2.372928177,629.8853,20.86,8.00,19.19,3.09
1.00E+03,6.435,1.1,6.341,5.764545455,991.855,28.73,11.54,26.3,2.279029463,1.00E+03,11.58,3.533,11.03,3.121992641,998.4250,15.58,5.39,14.56,3.72
,,,,,,,,,,,,,,,,,,,
Sandwich-1,,,,,Sandwich-2,,,,,Sandwich-3,,,,,Sandwich-mean,,,,
gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT
0.00936319,11.17,10.77,2.977,0.27641597,0.0101052,5.188,4.152,3.111,0.749277457,9.39E-03,28.59,24.05,15.47,0.643243243,0.0096,14.9827,12.9907,7.1860,0.5563
0.0149274,11.41,10.99,3.077,0.279981802,0.016175,4.948,4.521,2.011,0.444813094,0.0155179,29.67,27.05,12.2,0.451016636,0.0155,15.3427,14.1870,5.7627,0.3919
0.0242138,11.42,10.97,3.191,0.29088423,0.0256903,4.769,4.317,2.026,0.469307389,0.0249454,29.32,27.98,8.743,0.312473195,0.0249,15.1697,14.4223,4.6533,0.3576
0.0397065,11.62,11.16,3.227,0.289157706,0.03911,4.924,4.581,1.805,0.394018773,0.041791,30.45,28.97,9.351,0.322782188,0.0402,15.6647,14.9037,4.7943,0.3353
0.063623,11.84,11.39,3.226,0.283230904,0.0622483,4.96,4.662,1.693,0.363148863,0.0631539,30.72,29.26,9.364,0.320027341,0.0630,15.8400,15.1040,4.7610,0.3221
0.101096,12.04,11.59,3.291,0.283951682,0.100732,5.035,4.734,1.714,0.362061681,0.0984626,31.16,29.88,8.857,0.296419009,0.1001,16.0783,15.4013,4.6207,0.3141
0.157993,12.21,11.74,3.364,0.286541738,0.158986,5.115,4.804,1.755,0.365320566,0.157502,31.62,30.34,8.899,0.293309163,0.1582,16.3150,15.6280,4.6727,0.3151
0.252124,12.39,11.92,3.395,0.284815436,0.250953,5.208,4.892,1.788,0.365494685,0.251352,32.22,31.01,8.768,0.282747501,0.2515,16.6060,15.9407,4.6503,0.3110
0.399539,12.63,12.13,3.505,0.288953009,0.398984,5.282,4.96,1.816,0.366129032,0.397672,32.96,31.79,8.689,0.273324945,0.3987,16.9573,16.2933,4.6700,0.3095
0.630471,12.93,12.41,3.646,0.293795326,0.63131,5.354,5.026,1.845,0.367091126,0.631009,33.57,32.42,8.688,0.267982727,0.6309,17.2847,16.6187,4.7263,0.3096
1.00071,13.23,12.66,3.847,0.303870458,0.999239,5.394,5.058,1.875,0.370699881,0.999276,33.65,32.49,8.767,0.269836873,0.9997,17.4247,16.7360,4.8297,0.3148
1.58612,13.01,12.4,3.947,0.318306452,1.58523,5.355,5.01,1.89,0.377245509,1.58683,32.84,31.64,8.802,0.278192162,1.5861,17.0683,16.3500,4.8797,0.3246
2.51127,12.7,12,4.156,0.346333333,2.51236,5.327,4.974,1.907,0.383393647,2.51184,31.99,30.68,9.073,0.295730117,2.5118,16.6723,15.8847,5.0453,0.3418
3.98669,11.99,11.15,4.415,0.395964126,3.97841,5.26,4.892,1.932,0.394930499,3.98231,30.6,29.09,9.478,0.325816432,3.9825,15.9500,15.0440,5.2750,0.3722
6.31482,11.03,10.01,4.637,0.463236763,6.30956,5.154,4.769,1.954,0.409729503,6.31245,28.96,27.22,9.893,0.363445996,6.3123,15.0480,13.9997,5.4947,0.4121
10.008,9.769,8.498,4.82,0.567192281,9.99713,5.009,4.594,1.995,0.434262081,10.0041,27.02,25.01,10.23,0.409036385,10.0031,13.9327,12.7007,5.6817,0.4702
15.8609,8.627,7.197,4.757,0.660969849,15.855,4.799,4.338,2.051,0.472798525,15.8583,24.87,22.54,10.53,0.467169476,15.8581,12.7653,11.3583,5.7793,0.5336
25.1273,7.655,6.068,4.666,0.768951879,25.1235,4.508,3.981,2.116,0.531524743,25.145,22.5,19.77,10.73,0.542741528,25.1319,11.5543,9.9397,5.8373,0.6144
39.8204,6.822,4.999,4.643,0.928785757,39.8279,4.145,3.524,2.182,0.619182747,39.8388,19.95,16.85,10.69,0.634421365,39.8290,10.3057,8.4577,5.8383,0.7275
63.1189,6,3.889,4.569,1.174852147,63.1155,3.735,3.017,2.202,0.729864103,63.1194,17.41,14.03,10.3,0.734141126,63.1179,9.0483,6.9787,5.6903,0.8796
100.009,5.134,2.762,4.327,1.566618392,100.02,3.335,2.556,2.143,0.838419405,99.995,15.04,11.62,9.542,0.821170396,100.0080,7.8363,5.6460,5.3373,1.0754
158.511,4.264,1.825,3.854,2.111780822,158.498,2.99,2.206,2.019,0.915231188,158.246,13.16,9.828,8.752,0.890516891,158.4183,6.8047,4.6197,4.8750,1.3058
251.255,3.444,1.156,3.245,2.807093426,251.103,2.738,1.983,1.888,0.952092789,250.36,11.67,8.415,8.081,0.960308972,250.9060,5.9507,3.8513,4.4047,1.5732
398.27,2.697,0.7137,2.601,3.644388398,397.679,2.576,1.823,1.819,0.997805815,396.398,10.25,7.071,7.425,1.05006364,397.4490,5.1743,3.2026,3.9483,1.8974
631.17,2.068,0.439,2.021,4.603644647,629.911,2.464,1.603,1.871,1.167186525,627.702,8.782,5.461,6.877,1.25929317,629.5943,4.4380,2.5010,3.5897,2.3434
1000.16,1.612,0.285,1.587,5.568421053,997.274,2.388,1.258,2.03,1.613672496,994.246,7.119,3.898,5.956,1.527963058,997.2267,3.7063,1.8137,3.1910,2.9034
,,,,,,,,,,,,,,,,,,,
Swelled-1,,,,,Swelled-2,,,,,Swelled-3,,,,,Swelled-mean,,,,
gamma*(%),G*,G',"G""",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*,G',"G""",LT
8.77E-03,13.24,12.65,3.883,0.306956522,0.0105444,12.69,11.23,5.896,0.525022262,0.0101052,5.188,4.152,3.111,0.749277457,0.00981,10.37267,9.34400,4.29667,0.52709
0.0166295,14.78,13.2,6.635,0.502651515,0.0156135,12.12,11.92,2.19,0.183724832,0.016175,4.948,4.521,2.011,0.444813094,0.01614,10.61600,9.88033,3.61200,0.37706
